package,type,count
apg_2.2.3.dfsg.1-4+b1_amd64.log,num_stack_protector_strong,0
apg_2.2.3.dfsg.1-4+b1_amd64.log,num_stack_protector_all,0
apg_2.2.3.dfsg.1-4+b1_amd64.log,num_no_stack_protector,2
apmd_3.2.2-15+b2_amd64.log,num_gcc,0
apmd_3.2.2-15+b2_amd64.log,num_stack_protector,0
apmd_3.2.2-15+b2_amd64.log,num_stack_protector_strong,0
apmd_3.2.2-15+b2_amd64.log,num_stack_protector_all,0
apmd_3.2.2-15+b2_amd64.log,num_no_stack_protector,0
apparmor_2.13.2-10_amd64.log,num_gcc,7
apparmor_2.13.2-10_amd64.log,num_stack_protector,0
apparmor_2.13.2-10_amd64.log,num_stack_protector_strong,7
apparmor_2.13.2-10_amd64.log,num_stack_protector_all,0
apparmor_2.13.2-10_amd64.log,num_no_stack_protector,0
appmenu-qt_0.2.6-2_amd64.log,num_gcc,0
appmenu-qt_0.2.6-2_amd64.log,num_stack_protector,0
appmenu-qt_0.2.6-2_amd64.log,num_stack_protector_strong,0
appmenu-qt_0.2.6-2_amd64.log,num_stack_protector_all,0
appmenu-qt_0.2.6-2_amd64.log,num_no_stack_protector,0
apt_1.8.0_amd64.log,num_gcc,0
apt_1.8.0_amd64.log,num_stack_protector,0
apt_1.8.0_amd64.log,num_stack_protector_strong,0
apt_1.8.0_amd64.log,num_stack_protector_all,0
apt_1.8.0_amd64.log,num_no_stack_protector,0
aptitude_0.8.11-6_amd64.log,num_gcc,0
aptitude_0.8.11-6_amd64.log,num_stack_protector,0
aptitude_0.8.11-6_amd64.log,num_stack_protector_strong,0
aptitude_0.8.11-6_amd64.log,num_stack_protector_all,0
aptitude_0.8.11-6_amd64.log,num_no_stack_protector,0
ardour_1:5.12.0-3_amd64.log,num_gcc,0
ardour_1:5.12.0-3_amd64.log,num_stack_protector,0
ardour_1:5.12.0-3_amd64.log,num_stack_protector_strong,0
ardour_1:5.12.0-3_amd64.log,num_stack_protector_all,0
ardour_1:5.12.0-3_amd64.log,num_no_stack_protector,0
argyll_2.0.1+repack-1_amd64.log,num_gcc,0
argyll_2.0.1+repack-1_amd64.log,num_stack_protector,0
argyll_2.0.1+repack-1_amd64.log,num_stack_protector_strong,0
argyll_2.0.1+repack-1_amd64.log,num_stack_protector_all,0
argyll_2.0.1+repack-1_amd64.log,num_no_stack_protector,0
arj_3.10.22-20_amd64.log,num_gcc,261
arj_3.10.22-20_amd64.log,num_stack_protector,0
arj_3.10.22-20_amd64.log,num_stack_protector_strong,261
arj_3.10.22-20_amd64.log,num_stack_protector_all,0
arj_3.10.22-20_amd64.log,num_no_stack_protector,0
ark_4:18.08.3-1_amd64.log,num_gcc,0
ark_4:18.08.3-1_amd64.log,num_stack_protector,0
ark_4:18.08.3-1_amd64.log,num_stack_protector_strong,0
ark_4:18.08.3-1_amd64.log,num_stack_protector_all,0
ark_4:18.08.3-1_amd64.log,num_no_stack_protector,0
armagetronad_0.2.8.3.4-2_amd64.log,num_gcc,0
armagetronad_0.2.8.3.4-2_amd64.log,num_stack_protector,0
armagetronad_0.2.8.3.4-2_amd64.log,num_stack_protector_strong,0
armagetronad_0.2.8.3.4-2_amd64.log,num_stack_protector_all,0
armagetronad_0.2.8.3.4-2_amd64.log,num_no_stack_protector,0
arora_0.11.0-1_amd64.log,num_gcc,1
arora_0.11.0-1_amd64.log,num_stack_protector,0
arora_0.11.0-1_amd64.log,num_stack_protector_strong,0
arora_0.11.0-1_amd64.log,num_stack_protector_all,0
arora_0.11.0-1_amd64.log,num_no_stack_protector,1
arts_1.5.9-3+b2_amd64.log,num_gcc,6
arts_1.5.9-3+b2_amd64.log,num_stack_protector,0
arts_1.5.9-3+b2_amd64.log,num_stack_protector_strong,0
arts_1.5.9-3+b2_amd64.log,num_stack_protector_all,0
arts_1.5.9-3+b2_amd64.log,num_no_stack_protector,6
aspell-it_0.60-3.1_amd64.log,num_gcc,0
aspell-it_0.60-3.1_amd64.log,num_stack_protector,0
aspell-it_0.60-3.1_amd64.log,num_stack_protector_strong,0
aspell-it_0.60-3.1_amd64.log,num_stack_protector_all,0
aspell-it_0.60-3.1_amd64.log,num_no_stack_protector,0
aspell_0.60.7~20110707-4+b1_amd64.log,num_gcc,2
aspell_0.60.7~20110707-4+b1_amd64.log,num_stack_protector,0
aspell_0.60.7~20110707-4+b1_amd64.log,num_stack_protector_strong,2
aspell_0.60.7~20110707-4+b1_amd64.log,num_stack_protector_all,0
aspell_0.60.7~20110707-4+b1_amd64.log,num_no_stack_protector,0
asunder_2.9.3-3_amd64.log,num_gcc,10
asunder_2.9.3-3_amd64.log,num_stack_protector,0
asunder_2.9.3-3_amd64.log,num_stack_protector_strong,10
asunder_2.9.3-3_amd64.log,num_stack_protector_all,0
asunder_2.9.3-3_amd64.log,num_no_stack_protector,0
asymptote_2.44-1+b1_amd64.log,num_gcc,0
asymptote_2.44-1+b1_amd64.log,num_stack_protector,0
asymptote_2.44-1+b1_amd64.log,num_stack_protector_strong,0
asymptote_2.44-1+b1_amd64.log,num_stack_protector_all,0
asymptote_2.44-1+b1_amd64.log,num_no_stack_protector,0
at-spi2-core_2.32.0-1_amd64.log,num_gcc,0
at-spi2-core_2.32.0-1_amd64.log,num_stack_protector,0
at-spi2-core_2.32.0-1_amd64.log,num_stack_protector_strong,0
at-spi2-core_2.32.0-1_amd64.log,num_stack_protector_all,0
at-spi2-core_2.32.0-1_amd64.log,num_no_stack_protector,0
at-spi_1.32.0-1_amd64.log,num_gcc,20
at-spi_1.32.0-1_amd64.log,num_stack_protector,19
at-spi_1.32.0-1_amd64.log,num_stack_protector_strong,0
at-spi_1.32.0-1_amd64.log,num_stack_protector_all,0
at-spi_1.32.0-1_amd64.log,num_no_stack_protector,1
at_3.1.20-3_amd64.log,num_gcc,11
at_3.1.20-3_amd64.log,num_stack_protector,0
at_3.1.20-3_amd64.log,num_stack_protector_strong,9
at_3.1.20-3_amd64.log,num_stack_protector_all,0
at_3.1.20-3_amd64.log,num_no_stack_protector,2
atomix_3.31.90-1_amd64.log,num_gcc,0
atomix_3.31.90-1_amd64.log,num_stack_protector,0
atomix_3.31.90-1_amd64.log,num_stack_protector_strong,0
atomix_3.31.90-1_amd64.log,num_stack_protector_all,0
atomix_3.31.90-1_amd64.log,num_no_stack_protector,0
attr_1:2.4.48-4_amd64.log,num_gcc,3
attr_1:2.4.48-4_amd64.log,num_stack_protector,0
attr_1:2.4.48-4_amd64.log,num_stack_protector_strong,3
attr_1:2.4.48-4_amd64.log,num_stack_protector_all,0
attr_1:2.4.48-4_amd64.log,num_no_stack_protector,0
audacious-plugins_3.10.1-1_amd64.log,num_gcc,0
audacious-plugins_3.10.1-1_amd64.log,num_stack_protector,0
audacious-plugins_3.10.1-1_amd64.log,num_stack_protector_strong,0
audacious-plugins_3.10.1-1_amd64.log,num_stack_protector_all,0
